#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.986,0.0,0.0,0.01
1,1000.0,0.983,1.017,0.01,0.01
2,1000.0,0.992,2.014,0.015,0.01
4,1000.0,0.99,4.04,0.03,0.01
8,1000.0,0.985,8.117,0.06,0.005
16,1000.0,0.988,16.193,0.075,0.005
32,1000.0,1.0,31.994,0.105,0.0
64,1000.0,1.163,55.016,0.545,0.01
128,1000.0,1.202,106.37,0.95,0.01
256,1000.0,1.632,164.613,38.425,0.525
512,1000.0,1.499,341.806,1.45,0.01
1024,1000.0,1.657,617.759,2.745,0.005
2048,1000.0,2.32,883.093,4.29,0.01
4096,1000.0,3.194,1282.439,8.305,0.02
8192,1000.0,4.5,1820.231,22.525,0.055
16384,1000.0,6.321,2592.444,35.975,0.09
32768,1000.0,8.518,3847.563,69.845,0.155
65536,640.0,12.449,5264.246,27.765,0.065
131072,320.0,18.804,6970.779,66.13,0.18
262144,160.0,32.699,8016.923,18.44,0.075
524288,80.0,54.741,9579.937,210.46,1.235
1048576,40.0,97.788,10723.285,86.15,0.785
2097152,20.0,183.321,11440.878,121.585,1.965
4194304,10.0,352.705,11891.769,20.15,0.6
8388608,5.0,694.273,12082.598,39.55,2.28
16777216,2.0,1380.473,12153.271,27.37,3.11
33554432,1.0,2760.24,12156.369,28.36,6.435
67108864,1.0,5516.48,12165.168,17.52,7.95
134217728,1.0,11013.356,12186.819,9.49,8.575
268435456,1.0,22057.427,12169.846,10.485,19.0
