#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.43,2.33
2,1000,0.41,4.93
4,1000,0.40,10.08
8,1000,0.40,20.01
16,1000,0.40,40.12
32,1000,0.56,57.32
64,1000,0.55,115.44
128,1000,0.88,145.58
256,1000,0.94,272.31
512,1000,1.13,454.41
1024,1000,1.31,781.18
2048,1000,2.10,975.06
4096,1000,2.99,1367.62
8192,1000,4.83,1697.31
16384,1000,7.23,2266.10
32768,1000,12.95,2530.31
65536,640,24.10,2719.06
131072,320,45.89,2856.26
262144,160,13.14,19957.18
524288,80,24.71,21214.49
1048576,40,53.77,19502.22
2097152,20,141.72,14798.23
4194304,10,309.20,13565.16
8388608,5,689.43,12167.42
16777216,2,2343.07,7160.36
33554432,1,6858.69,4892.25
67108864,1,14412.97,4656.14
134217728,1,28707.16,4675.41
268435456,1,57449.99,4672.51
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.43,2.33
2,1000,0.40,4.98
4,1000,0.40,10.02
8,1000,0.40,19.91
16,1000,0.40,39.80
32,1000,0.56,57.08
64,1000,0.56,113.87
128,1000,0.88,146.25
256,1000,0.92,279.74
512,1000,1.13,453.53
1024,1000,1.29,792.36
2048,1000,2.09,979.08
4096,1000,2.96,1381.65
8192,1000,4.80,1708.25
16384,1000,7.18,2283.45
32768,1000,12.82,2555.29
65536,640,24.04,2726.33
131072,320,44.73,2930.36
262144,160,13.16,19918.30
524288,80,23.03,22764.52
1048576,40,53.39,19639.86
2097152,20,143.33,14632.09
4194304,10,309.66,13544.77
8388608,5,686.72,12215.42
16777216,2,2349.61,7140.41
33554432,1,7235.42,4637.52
67108864,1,14414.68,4655.59
134217728,1,28679.05,4679.99
268435456,1,57432.71,4673.91
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.41,2.42
2,1000,0.40,4.97
4,1000,0.40,10.01
8,1000,0.40,19.93
16,1000,0.40,40.02
32,1000,0.56,56.91
64,1000,0.55,115.65
128,1000,0.91,140.73
256,1000,0.94,270.93
512,1000,1.14,450.75
1024,1000,1.33,769.49
2048,1000,2.10,975.15
4096,1000,3.00,1365.44
8192,1000,4.81,1702.92
16384,1000,7.25,2259.44
32768,1000,12.96,2528.28
65536,640,24.29,2698.25
131072,320,45.29,2894.15
262144,160,13.21,19846.44
524288,80,23.11,22681.84
1048576,40,56.58,18532.85
2097152,20,145.41,14422.47
4194304,10,305.98,13707.56
8388608,5,689.12,12173.01
16777216,2,2368.61,7083.14
33554432,1,6853.92,4895.66
67108864,1,15499.84,4329.65
134217728,1,28725.53,4672.42
268435456,1,57631.36,4657.80
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.40,2.52
2,1000,0.40,5.03
4,1000,0.40,10.06
8,1000,0.40,20.11
16,1000,0.40,40.30
32,1000,0.55,57.77
64,1000,0.55,116.37
128,1000,0.90,142.65
256,1000,0.95,269.10
512,1000,1.15,445.18
1024,1000,1.36,754.11
2048,1000,2.12,966.18
4096,1000,2.99,1370.87
8192,1000,4.80,1705.87
16384,1000,7.22,2267.81
32768,1000,12.88,2543.47
65536,640,25.27,2593.50
131072,320,46.57,2814.76
262144,160,14.82,17689.70
524288,80,26.03,20138.15
1048576,40,59.98,17482.57
2097152,20,149.84,13995.61
4194304,10,308.87,13579.65
8388608,5,698.10,12016.38
16777216,2,2355.88,7121.42
33554432,1,6875.91,4880.00
67108864,1,15295.88,4387.38
134217728,1,28743.12,4669.56
268435456,1,60996.15,4400.86
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.44,2.29
2,1000,0.41,4.87
4,1000,0.41,9.83
8,1000,0.40,19.91
16,1000,0.40,39.69
32,1000,0.56,56.76
64,1000,0.56,115.05
128,1000,0.90,141.55
256,1000,0.95,268.58
512,1000,1.15,445.55
1024,1000,1.28,797.53
2048,1000,2.11,968.63
4096,1000,3.00,1364.48
8192,1000,4.78,1712.71
16384,1000,7.20,2276.07
32768,1000,12.82,2555.55
65536,640,23.54,2783.99
131072,320,44.39,2952.48
262144,160,13.16,19913.49
524288,80,23.22,22580.20
1048576,40,51.75,20260.54
2097152,20,138.94,15094.11
4194304,10,308.00,13618.06
8388608,5,696.29,12047.62
16777216,2,2352.01,7133.14
