#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.409,0.0,0.0,0.01
1,1000.0,0.413,2.429,0.12,0.025
2,1000.0,0.401,4.993,0.11,0.01
4,1000.0,0.4,10.028,0.155,0.01
8,1000.0,0.399,20.055,0.19,0.005
16,1000.0,0.399,40.141,0.69,0.005
32,1000.0,0.557,57.36,0.595,0.005
64,1000.0,0.554,115.488,1.51,0.005
128,1000.0,0.894,143.211,3.355,0.02
256,1000.0,0.939,272.393,6.485,0.02
512,1000.0,1.135,451.728,8.145,0.02
1024,1000.0,1.302,786.327,35.9,0.06
2048,1000.0,2.098,975.344,9.675,0.02
4096,1000.0,2.987,1371.255,8.585,0.02
8192,1000.0,4.8,1706.528,9.03,0.025
16384,1000.0,7.269,2255.106,91.335,0.31
32768,1000.0,13.03,2516.309,95.615,0.515
65536,640.0,24.393,2689.134,124.73,1.14
131072,320.0,45.647,2874.56,145.315,2.345
262144,160.0,13.923,18885.058,1133.74,0.84
524288,80.0,25.001,21062.985,2062.965,2.55
1048576,40.0,55.521,18927.871,1388.985,4.115
2097152,20.0,143.245,14646.687,549.25,5.45
4194304,10.0,312.076,13453.431,673.625,16.48
8388608,5.0,689.552,12166.087,141.285,8.02
16777216,2.0,2353.632,7128.361,49.11,16.22
33554432,1.0,7045.7,4767.74,189.075,284.375
67108864,1.0,14600.416,4599.721,174.285,577.445
134217728,1.0,28665.477,4682.229,15.15,92.65
268435456,1.0,58160.181,4618.454,160.405,2094.75
