#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.06,0.00
1,1000,8.06,0.12
2,1000,8.08,0.25
4,1000,8.09,0.49
8,1000,8.09,0.99
16,1000,8.08,1.98
32,1000,8.11,3.95
64,1000,8.08,7.92
128,1000,8.49,15.09
256,1000,8.55,29.94
512,1000,8.58,59.69
1024,1000,9.52,107.58
2048,1000,9.14,223.98
4096,1000,10.80,379.12
8192,1000,11.63,704.50
16384,1000,15.55,1053.81
32768,1000,25.60,1279.92
65536,640,56.04,1169.43
131072,320,80.04,1637.54
262144,160,122.26,2144.17
524288,80,195.80,2677.72
1048576,40,327.54,3201.33
2097152,20,622.06,3371.33
4194304,10,1214.67,3453.03
8388608,5,2425.46,3458.57
16777216,2,5201.15,3225.67
33554432,1,10793.86,3108.66
67108864,1,20343.60,3298.77
134217728,1,41803.20,3210.70
268435456,1,82193.82,3265.88
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.93,0.00
1,1000,8.00,0.13
2,1000,8.00,0.25
4,1000,8.03,0.50
8,1000,7.96,1.00
16,1000,8.05,1.99
32,1000,7.97,4.01
64,1000,7.96,8.04
128,1000,8.36,15.31
256,1000,8.37,30.59
512,1000,8.44,60.69
1024,1000,9.49,107.86
2048,1000,8.92,229.69
4096,1000,10.70,382.83
8192,1000,11.37,720.27
16384,1000,15.33,1068.82
32768,1000,25.10,1305.25
65536,640,55.53,1180.17
131072,320,78.76,1664.30
262144,160,120.13,2182.14
524288,80,194.05,2701.88
1048576,40,325.60,3220.47
2097152,20,618.95,3388.26
4194304,10,1200.48,3493.85
8388608,5,2418.54,3468.46
16777216,2,5146.10,3260.18
33554432,1,10535.53,3184.88
67108864,1,20940.58,3204.73
134217728,1,42232.61,3178.06
268435456,1,84457.78,3178.34
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.72,0.00
1,1000,7.80,0.13
2,1000,7.78,0.26
4,1000,7.80,0.51
8,1000,7.82,1.02
16,1000,7.79,2.05
32,1000,7.81,4.10
64,1000,7.85,8.15
128,1000,8.13,15.75
256,1000,8.17,31.35
512,1000,8.25,62.04
1024,1000,9.51,107.70
2048,1000,8.79,232.91
4096,1000,10.84,377.81
8192,1000,11.39,719.54
16384,1000,15.48,1058.25
32768,1000,25.66,1276.90
65536,640,56.93,1151.13
131072,320,80.21,1634.20
262144,160,122.26,2144.21
524288,80,194.85,2690.68
1048576,40,328.32,3193.73
2097152,20,623.47,3363.67
4194304,10,1209.36,3468.20
8388608,5,2426.20,3457.52
16777216,2,5190.77,3232.13
33554432,1,10768.23,3116.06
67108864,1,20113.64,3336.48
134217728,1,40702.96,3297.49
268435456,1,84663.17,3170.63
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.80,0.00
1,1000,7.93,0.13
2,1000,7.92,0.25
4,1000,7.91,0.51
8,1000,7.88,1.02
16,1000,7.92,2.02
32,1000,7.93,4.04
64,1000,7.95,8.05
128,1000,8.25,15.52
256,1000,8.33,30.72
512,1000,8.43,60.74
1024,1000,9.31,110.03
2048,1000,9.05,226.25
4096,1000,10.69,383.29
8192,1000,11.48,713.36
16384,1000,15.27,1072.78
32768,1000,25.33,1293.75
65536,640,55.56,1179.62
131072,320,78.26,1674.77
262144,160,120.34,2178.40
524288,80,192.81,2719.25
1048576,40,325.29,3223.51
2097152,20,616.81,3399.99
4194304,10,1197.36,3502.96
8388608,5,2399.65,3495.76
16777216,2,5167.75,3246.52
33554432,1,10614.56,3161.17
67108864,1,20348.39,3297.99
134217728,1,40262.21,3333.59
268435456,1,81991.25,3273.95
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.80,0.00
1,1000,7.90,0.13
2,1000,7.92,0.25
4,1000,7.94,0.50
8,1000,7.91,1.01
16,1000,7.89,2.03
32,1000,7.91,4.05
64,1000,7.92,8.08
128,1000,8.32,15.38
256,1000,8.38,30.55
512,1000,8.40,60.93
1024,1000,9.60,106.68
2048,1000,8.97,228.34
4096,1000,10.90,375.62
8192,1000,11.44,716.05
16384,1000,15.49,1057.73
32768,1000,25.54,1283.17
65536,640,56.73,1155.24
131072,320,80.56,1627.08
262144,160,122.09,2147.22
524288,80,195.67,2679.50
1048576,40,328.70,3190.11
2097152,20,624.04,3360.61
4194304,10,1214.44,3453.70
8388608,5,2433.97,3446.47
16777216,2,5202.97,3224.55
33554432,1,10768.60,3115.95
67108864,1,20169.99,3327.16
134217728,1,40374.56,3324.31
268435456,1,81001.23,3313.97
