#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,7.846,0.0,0.0,0.17
1,1000.0,7.898,0.129,0.005,0.13
2,1000.0,7.897,0.252,0.005,0.15
4,1000.0,7.904,0.505,0.01,0.145
8,1000.0,7.893,1.013,0.015,0.135
16,1000.0,7.898,2.026,0.035,0.145
32,1000.0,7.918,4.042,0.075,0.15
64,1000.0,7.917,8.084,0.14,0.135
128,1000.0,8.3,15.424,0.33,0.18
256,1000.0,8.342,30.694,0.705,0.19
512,1000.0,8.401,60.942,1.175,0.165
1024,1000.0,9.439,108.51,2.84,0.245
2048,1000.0,8.947,228.922,4.465,0.175
4096,1000.0,10.737,381.512,10.095,0.28
8192,1000.0,11.474,714.023,10.31,0.165
16384,1000.0,15.413,1063.053,18.1,0.26
32768,1000.0,25.501,1285.126,22.59,0.445
65536,640.0,56.148,1167.33,18.4,0.88
131072,320.0,79.354,1651.922,26.435,1.27
262144,160.0,121.355,2160.301,25.5,1.425
524288,80.0,194.581,2694.575,26.79,1.93
1048576,40.0,326.506,3211.625,33.645,3.395
2097152,20.0,620.633,3379.117,19.8,3.635
4194304,10.0,1206.418,3476.749,24.965,8.655
8388608,5.0,2421.954,3463.667,29.44,20.56
16777216,2.0,5186.514,3234.851,26.75,42.93
33554432,1.0,10684.919,3140.542,38.11,129.165
67108864,1.0,20376.991,3294.107,69.545,436.615
134217728,1.0,40947.998,3278.818,78.785,997.53
268435456,1.0,82282.092,3263.597,85.35,2162.59
