#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.60,1.65
2,1000,0.60,3.33
4,1000,0.61,6.60
8,1000,0.61,13.22
16,1000,0.64,25.14
32,1000,0.72,44.68
64,1000,0.76,83.68
128,1000,1.04,123.01
256,1000,1.20,214.14
512,1000,1.01,505.42
1024,1000,1.36,753.53
2048,1000,1.72,1192.24
4096,1000,3.13,1309.86
8192,1000,3.20,2560.64
16384,1000,3.86,4244.04
32768,1000,4.84,6767.09
65536,640,6.68,9812.09
131072,320,9.99,13123.97
262144,160,20.25,12945.74
524288,80,40.20,13042.11
1048576,40,91.17,11501.81
2097152,20,222.56,9422.68
4194304,10,425.63,9854.45
8388608,5,1145.72,7321.70
16777216,2,4081.38,4110.68
33554432,1,10812.98,3103.16
67108864,1,22013.29,3048.56
134217728,1,44165.34,3038.98
268435456,1,88390.05,3036.94
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.61,1.65
2,1000,0.61,3.30
4,1000,0.61,6.57
8,1000,0.60,13.32
16,1000,0.65,24.62
32,1000,0.72,44.59
64,1000,0.82,77.73
128,1000,0.98,130.83
256,1000,1.18,216.57
512,1000,1.06,482.88
1024,1000,1.43,715.82
2048,1000,1.81,1133.72
4096,1000,2.75,1487.31
8192,1000,3.41,2400.58
16384,1000,3.89,4210.64
32768,1000,5.19,6312.66
65536,640,6.47,10123.15
131072,320,11.61,11289.36
262144,160,19.72,13295.16
524288,80,40.27,13019.45
1048576,40,93.17,11254.42
2097152,20,222.20,9437.98
4194304,10,426.57,9832.62
8388608,5,1144.41,7330.07
16777216,2,4067.55,4124.64
33554432,1,10793.63,3108.73
67108864,1,21998.71,3050.58
134217728,1,44065.66,3045.86
268435456,1,88383.11,3037.18
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.53,0.00
1,1000,0.59,1.71
2,1000,0.58,3.42
4,1000,0.59,6.79
8,1000,0.58,13.79
16,1000,0.66,24.08
32,1000,0.74,43.51
64,1000,0.83,76.74
