#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,0.54,0.0,0.0,0.02
1,1000.0,0.603,1.654,0.065,0.02
2,1000.0,0.601,3.323,0.1,0.02
4,1000.0,0.605,6.623,0.185,0.015
8,1000.0,0.604,13.258,0.54,0.025
16,1000.0,0.648,24.698,0.92,0.025
32,1000.0,0.708,45.185,2.16,0.035
64,1000.0,0.795,80.415,3.47,0.035
128,1000.0,0.997,128.838,8.885,0.07
256,1000.0,1.186,216.233,17.115,0.095
512,1000.0,1.056,485.509,38.41,0.085
1024,1000.0,1.432,716.211,40.71,0.08
2048,1000.0,1.754,1170.645,96.9,0.145
4096,1000.0,2.788,1472.743,115.2,0.235
8192,1000.0,3.333,2459.258,92.965,0.125
16384,1000.0,3.847,4262.547,189.865,0.165
32768,1000.0,4.959,6614.589,304.855,0.23
65536,640.0,6.392,10289.744,879.375,0.555
131072,320.0,11.16,11775.477,966.72,0.86
262144,160.0,19.929,13158.265,446.23,0.655
524288,80.0,40.045,13095.458,367.14,1.12
1048576,40.0,92.671,11318.277,330.42,2.7
2097152,20.0,220.268,9521.986,183.31,4.165
4194304,10.0,426.218,9842.591,248.26,11.055
8388608,5.0,1140.567,7355.234,98.685,15.22
16777216,2.0,4096.587,4095.546,42.975,43.29
33554432,1.0,11022.784,3047.076,107.755,400.58
67108864,1.0,21996.62,3050.881,10.45,75.28
134217728,1.0,44129.529,3041.459,10.425,151.07
268435456,1.0,89435.377,3003.176,101.12,3124.85
