Ts,N,Nx,Ny,Nz,k,C_MB,Tc,P_MLUPs,ratioP,data_MLUPs,elapsed,L,Lat_us,B_MBs
4.317,1,1,1,1,2,0,0,79.45332407,1,,,700,0.279,6300.328
4.317,12,12,1,1,2,7.476806641,0.001187291,953.1777393,1.000275027,850.5266604,88.24,,,
4.317,12,4,3,1,4,14.95361328,0.002374582,952.915734,1.000550054,849.5713458,88.14,,,
4.317,12,3,2,2,6,22.43041992,0.003561873,952.6538726,1.000825081,849.6338328,88.03,,,
4.317,12,6,2,1,4,14.95361328,0.002374582,952.915734,1.000550054,850.3519011,88.1,,,
4.317,24,24,1,1,2,7.476806641,0.001187291,1906.355479,1.000275027,1690.635257,89.12,,,
4.317,24,12,2,1,4,14.95361328,0.002374582,1905.831468,1.000550054,1700.242117,88.86,,,
4.317,24,8,3,1,4,14.95361328,0.002374582,1905.831468,1.000550054,1699.03192,88.91,,,
4.317,24,6,4,1,4,14.95361328,0.002374582,1905.831468,1.000550054,1700.315941,88.96,,,
4.317,24,6,2,2,6,22.43041992,0.003561873,1905.307745,1.000825081,1698.989954,88.89,,,
4.317,24,4,3,2,6,22.43041992,0.003561873,1905.307745,1.000825081,1699.548395,88.89,,,
4.317,48,48,1,1,2,7.476806641,0.001187291,3812.710957,1.000275027,2538.198883,114.9,,,
4.317,48,24,2,1,4,14.95361328,0.002374582,3811.662936,1.000550054,2534.726547,115.1,,,
4.317,48,12,4,1,4,14.95361328,0.002374582,3811.662936,1.000550054,2523.002058,115.4,,,
4.317,48,12,2,2,6,22.43041992,0.003561873,3810.615491,1.000825081,2550.307105,114.4,,,
4.317,48,8,6,1,4,14.95361328,0.002374582,3811.662936,1.000550054,2549.905602,114.5,,,
4.317,48,6,4,2,6,22.43041992,0.003561873,3810.615491,1.000825081,2527.282456,115.3,,,
