Ts,N,Nx,Ny,Nz,k,C_MB,Tc,P_MLUPs,ratioP,data_MLUPs,elapsed,L,Lat_us,B_MBs
4.317,1,1,1,1,2,0,0,79.45332407,1,,,700,0.540,5471.172
4.317,12,12,1,1,2,7.476806641,0.001367662,953.1379266,1.000316808,900.1880882,83.73,,,
4.317,12,4,3,1,4,14.95361328,0.002735325,952.8361556,1.000633617,900.3287287,83.15,,,
4.317,12,3,2,2,6,22.43041992,0.004102987,952.5345757,1.000950425,893.0782092,83.52,,,
4.317,12,6,2,1,4,14.95361328,0.002735325,952.8361556,1.000633617,899.9480417,83.18,,,
4.317,24,24,1,1,2,7.476806641,0.001367662,1906.275853,1.000316808,1698.967619,88.97,,,
4.317,24,12,2,1,4,14.95361328,0.002735325,1905.672311,1.000633617,1699.917744,89.11,,,
4.317,24,8,3,1,4,14.95361328,0.002735325,1905.672311,1.000633617,1699.284762,88.88,,,
4.317,24,6,4,1,4,14.95361328,0.002735325,1905.672311,1.000633617,1698.867199,88.94,,,
4.317,24,6,2,2,6,22.43041992,0.004102987,1905.069151,1.000950425,1699.6994,88.86,,,
4.317,24,4,3,2,6,22.43041992,0.004102987,1905.069151,1.000950425,1699.090177,88.9,,,
4.317,48,48,1,1,2,7.476806641,0.001367662,3812.551706,1.000316808,2528.729925,115.5,,,
4.317,48,24,2,1,4,14.95361328,0.002735325,3811.344623,1.000633617,2542.104349,114.5,,,
4.317,48,12,4,1,4,14.95361328,0.002735325,3811.344623,1.000633617,2531.667816,115,,,
4.317,48,12,2,2,6,22.43041992,0.004102987,3810.138303,1.000950425,2546.49542,114.3,,,
4.317,48,8,6,1,4,14.95361328,0.002735325,3811.344623,1.000633617,2531.779431,114.6,,,
4.317,48,6,4,2,6,22.43041992,0.004102987,3810.138303,1.000950425,2542.648993,114.5,,,
