Ts,N,Nx,Ny,Nz,k,C_MB,Tc,P_MLUPs,ratioP,data_MLUPs,elapsed,L,Lat_us,B_MBs
2.99,1,1,1,1,2,0.00000,0.00000,114.7157191,1.00000,112.2617203,54.26,700,0.222,6372.991
2.99,4,4,1,1,2,7.47681,0.00117,458.6828323,1.00039,448.0708203,54.44,,,
2.99,4,2,2,1,4,14.95361,0.00235,458.5029296,1.00079,448.9819070,54.37,,,
2.99,8,8,1,1,2,7.47681,0.00117,917.3656647,1.00039,894.6112024,54.59,,,
2.99,8,4,2,1,4,14.95361,0.00235,917.0058593,1.00079,896.9955594,54.61,,,
2.99,8,2,2,2,6,22.43042,0.00352,916.6463360,1.00118,894.3670611,54.61,,,
2.99,12,12,1,1,2,7.47681,0.00117,1376.0484970,1.00039,1329.5301245,55.27,,,
2.99,12,4,3,1,4,14.95361,0.00235,1375.5087889,1.00079,1315.6551808,55.7,,,
2.99,12,3,2,2,6,22.43042,0.00352,1374.9695040,1.00118,1324.6980605,55.42,,,
2.99,12,6,2,1,4,14.95361,0.00235,1375.5087889,1.00079,1323.8480896,55.46,,,
