Ts,N,Nx,Ny,Nz,k,C_MB,Tc,P_MLUPs,ratioP,data_MLUPs,elapsed,L,Lat_us,B_MBs
2.99,1,1,1,1,2,0,0,114.7157191,1,112.1941234,54.26,700,1.020,11945.604
2.99,12,12,1,1,2,7.476806641,0.000627944,1376.2995854,1.000210015,1334.3096477,54.8,,,
2.99,12,4,3,1,4,14.95361328,0.001255889,1376.0106634,1.00042003,1334.8244222,54.75,,,
2.99,12,3,2,2,6,22.43041992,0.001883833,1375.7218626,1.000630045,1342.3392899,54.57,,,
2.99,12,6,2,1,4,14.95361328,0.001255889,1376.0106634,1.00042003,1341.9842592,54.58,,,
2.99,24,24,1,1,2,7.476806641,0.000627944,2752.5991708,1.000210015,2680.5701565,54.8,,,
2.99,24,12,2,1,4,14.95361328,0.001255889,2752.0213268,1.00042003,2683.9717872,54.75,,,
2.99,24,8,3,1,4,14.95361328,0.001255889,2752.0213268,1.00042003,2678.9661977,54.78,,,
2.99,24,6,4,1,4,14.95361328,0.001255889,2752.0213268,1.00042003,2676.7928584,54.79,,,
2.99,24,6,2,2,6,22.43041992,0.001883833,2751.4437253,1.000630045,2681.9062023,54.82,,,
2.99,24,4,3,2,6,22.43041992,0.001883833,2751.4437253,1.000630045,2674.0857583,54.85,,,
2.99,48,48,1,1,2,7.476806641,0.000627944,5505.1983416,1.000210015,5260.9379176,56.39,,,
2.99,48,24,2,1,4,14.95361328,0.001255889,5504.0426535,1.00042003,5247.7544821,56.51,,,
2.99,48,12,4,1,4,14.95361328,0.001255889,5504.0426535,1.00042003,5249.9587240,56.58,,,
2.99,48,12,2,2,6,22.43041992,0.001883833,5502.8874506,1.000630045,5215.2751312,56.73,,,
2.99,48,8,6,1,4,14.95361328,0.001255889,5504.0426535,1.00042003,5222.1199602,56.67,,,
2.99,48,6,4,2,6,22.43041992,0.001883833,5502.8874506,1.000630045,5244.1732034,56.52,,,
