Ts,N,Nx,Ny,Nz,k,C_MB,Tc,P_MLUPs,ratioP,data_MLUPs,elapsed,L,Lat_us,B_MBs
2.99,1,1,1,1,2,0,0,114.7157191,1,112.3160269,54.24,700,0.485,5530.801
2.99,4,4,1,1,2,7.476806641,0.001352819,458.6553587,1.000452448,448.5776102,54.35,,,
2.99,4,2,2,1,4,14.95361328,0.002705638,458.4480287,1.000904896,448.3071757,54.36,,,
2.99,8,8,1,1,2,7.476806641,0.001352819,917.3107173,1.000452448,888.9560134,54.74,,,
2.99,8,4,2,1,4,14.95361328,0.002705638,916.8960574,1.000904896,895.1857155,54.49,,,
2.99,8,2,2,2,6,22.43041992,0.004058456,916.4817721,1.001357343,895.8976873,54.47,,,
2.99,12,12,1,1,2,7.476806641,0.001352819,1375.9660760,1.000452448,1332.8755225,54.83,,,
2.99,12,4,3,1,4,14.95361328,0.002705638,1375.3440861,1.000904896,1336.4716968,54.84,,,
2.99,12,3,2,2,6,22.43041992,0.004058456,1374.7226582,1.001357343,1342.5131545,54.63,,,
2.99,12,6,2,1,4,14.95361328,0.002705638,1375.3440861,1.000904896,1342.4992631,54.62,,,
