#np,nx,ny,nz,mlup,elapsed
12,12,1,1,850.5266603889999,88.24
12,3,2,2,849.6338327943998,88.03
12,4,3,1,849.5713458357001,88.14
12,6,2,1,850.35190112,88.10
24,12,2,1,1700.242117365,88.86
24,24,1,1,1690.6352569269998,89.12
24,4,3,2,1699.5483946489999,88.89
24,6,2,2,1698.9899544440002,88.89
24,6,4,1,1700.3159409209998,88.96
24,8,3,1,1699.0319201030002,88.91
32,4,2,4,1760.198883956,108.5
48,12,2,2,2550.3071046219993,114.4
48,12,4,1,2523.0020577250007,115.4
48,24,2,1,2534.726546809,115.1
48,48,1,1,2538.198883142,114.9
48,6,4,2,2527.2824559690002,115.3
48,8,6,1,2549.90560232,114.5
