#np,nx,ny,nz,mlup,elapsed
12,12,1,1,900.1880882472,83.73
12,3,2,2,893.0782091755,83.52
12,4,3,1,900.3287287453999,83.15
12,6,2,1,899.9480416924001,83.18
24,12,2,1,1699.91774424,89.11
24,24,1,1,1698.9676194270003,88.97
24,4,3,2,1699.0901770140001,88.90
24,6,2,2,1699.6994000870004,88.86
24,6,4,1,1698.8671990970001,88.94
24,8,3,1,1699.28476209,88.88
32,4,2,4,1760.700653269,108.4
48,12,2,2,2546.495420163,114.3
48,12,4,1,2531.6678160219994,115.0
48,24,2,1,2542.1043494779997,114.5
48,48,1,1,2528.729925467,115.5
48,6,4,2,2542.6489933669995,114.5
48,8,6,1,2531.7794305820003,114.6
