#np,nx,ny,nz,mlup,elapsed
12,12,1,1,1334.3096477240001,54.80
12,3,2,2,1342.339289854,54.57
12,4,3,1,1334.8244221740001,54.75
12,6,2,1,1341.9842592109999,54.58
24,12,2,1,2683.971787178,54.75
24,24,1,1,2680.5701564980004,54.80
24,4,3,2,2674.0857583120005,54.85
24,6,2,2,2681.906202337,54.82
24,6,4,1,2676.7928584200004,54.79
24,8,3,1,2678.966197693,54.78
48,12,2,2,5249.958724043,56.58
48,12,4,1,5215.275131247001,56.73
48,24,2,1,5247.754482142,56.51
48,48,1,1,5260.937917648001,56.39
48,6,4,2,5244.173203355,56.52
48,8,6,1,5222.119960204,56.67
